,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
0,Data Analyst,GROOVY Medical Spa,"Health, Wellness and Fitness, Healthcare and Medical Services","Dakahlia, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/GROOVY-Medical-Spa-Egypt-17863,"Cairo, Egypt",Posted 2 days ago,11/8/2023,1 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research ,Analysis - Analyst - Data Analysis - Economics - Statistics ,"Interpret data, analyze results using statistical techniques and provide ongoing reports - Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality - Acquire data from primary or secondary data sources and maintain databases/data systems - Identify, analyze, and interpret trends or patterns in complex data sets - Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems - Work with management to prioritize business and information needs - Locate and define new process improvement opportunities ","Proven working experience as a Data Analyst or Business Data Analyst - Technical expertise regarding data models, database design development, data mining and segmentation techniques - Strong knowledge of and experience with reporting packages (Business Objects etc) - Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel) - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - BS in Mathematics, Economics, Information Management or Statistics - "
1,Data Analyst,2CooM,Management Consulting,"Giza, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/2CooM-Egypt-86048,"6th of October, Giza",Posted 6 days ago,11/8/2023,1 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research ,Analyst - Computer Science - Data Analyst - Python - SQL ,,"Bachelor's degree in a quantitative field such as mathematics, statistics, computer science, or a related discipline.  - Proven experience as a data analyst or similar role. -  Proficiency in data manipulation and analysis tools such as SQL, Python, R, or similar. -  Strong analytical skills with the ability to work with complex datasets. -  Experience with data visualization tools such as Tableau, Power BI, or similar. -  Familiarity with statistical analysis techniques, predictive modeling, and machine learning algorithms.  - Excellent problem-solving skills and attention to detail.  - Strong written and verbal communication skills. -  Ability to work independently and collaborate effectively in a team environment. - "
2,Data Analyst,Al Asdekaa Group for Dairies Production and Trading,"FMCG, Dairy, Retail","Alexandria, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/ElAsdekaa-for-Dairy-industries-Egypt-70651,"Alexandria, Egypt",Posted 6 days ago,11/8/2023,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, Quarter Bonus",Marketing/PR/Advertising - Analyst/Research ,Data - Data Analyst - Python ,"Prepare reports on findings while illustrating data with graphs and translating complex results into written texts that are clear and understandable - Devise and assess procedures and methods for data collection, including opinion polls, surveys and questionnaires - Conduct research regarding marketing strategies and consumer opinions while collaborating with statisticians, marketing professionals and pollsters - Track and forecast trends in sales and marketing, and analyze in detail the data collected to provide management with thorough reports and results - Collect and analyze data regarding customer preferences, demographics, buying habits and needs to better identify market potential and factors influencing product demand - Attend staff conferences in order to provide management with proposals and information on the distribution, promotion, pricing and design of products and services - Measure the effectiveness of advertising, marketing and communications strategies. - Data Cleaning.  ",Work experience as a Data Analyst or similar role - Expertise in Analytics - In-depth understanding of Python  practices - Excellent knowledge of MS Excel - Analytical abilities - BSc in  relevant field - Alexandria Resident only. - 
3,Data Analyst,Ajar,unknown,"Kuwait City, Kuwait • ",https://wuzzuf.net/jobs/careers/Ajar-Kuwait-94741,"Kuwait City, Kuwait",Posted 5 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Analysis - Computer Science - Information Technology (IT) - SQL - Microsoft Office - Microsoft Excel - Data Analyst - Research - Business Analysis - Economics - Engineering - Python - Computer Skills - Data - English - Tableau - Commerce - Finance - Statistics ,"Build data and analytics features to enhance Ajar's product offering. - Build and maintain user tracking initiatives. - Assist in designing and maintaining a data warehouse as well as other analytics architecture that would be needed for dashboards, analysis, and roadmaps. - Partner closely with the cross-functional teams to identify, define, collect, and track key business metrics for products or business processes. - Regularly analyze data and report it to stakeholders to make data-driven decisions. - Enable Ajar stakeholders to take quick action based on decisions backed by data. - Help define the metrics and KPIs for the Ajar business line. Publish & communicate metrics on a regular basis to help teams take proactive actions. - Work with the executive management to develop requirements, define success metrics, manage & execute analytical projects, and evaluate results.  - Provide technical solutions (predictive modeling/machine learning) to be able to estimate the likelihood of future events so stakeholders can take appropriate action. - Ensure high quality business reporting. - Collect and research data; quantitative, qualitative, trend and industry insights. - Analyze anomalies in data to help the team understand customer behavior, as well as the general business in a better - Bachelor's Degree in Mathematics/Computer Science/Statistics/Economics or a related field OR equivalent professional experience. Masters in Machine Learning, Data Science or Big Data is a plus.  - Proven work experience in complete data science process. - Experienced with Data Visualization. Experience in data mining would be a plus. - Skilled in SQl, statistics, data visualizations, Financial transaction analysis, Real estate analytics, Property management analytics and building data products, Predictive Modeling, Microsoft Power BI, Data Analytics. - Knowledge of data warehouse architecture. - Strong statistics skills such as distributions, statistical testing, regression, predictive analysis etc. - Dedicated, hardworking, and highly motivated individual with an intellectual curiosity to always research and learn new ways to extract, analyze and use data to further Ajar’s mission. - Data oriented personality with excellent technical, problem solving and  analytical skills. - Team player with very strong interpersonal skills. - Strong verbal and written communication skills with the ability to take a complex, ambiguous topic and turn it into a rigorously defined and well-formulated business solution and communicate the solution to the stakeholders in a clear and compelling way. ",not mentioned
4,Data Analyst,Al Watania Poultry,"FMCG, Food and Beverage Production","Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/Al-watania-poltry-Egypt-25246,"Smart Village, Giza",Posted 7 days ago,11/8/2023,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Quarter incentive",Accounting/Finance - Analyst/Research ,Analysis - analytical - Data Analysis - Power BI - Power Pivot ,"Interpret data, analyze results using statistical techniques and provide ongoing reports - Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality - Acquire data from primary or secondary data sources and maintain databases/data systems - Identify, analyze, and interpret trends or patterns in complex data sets - Work with management to prioritize business and information needs ","Proven working experience as a Data Analyst or Business Data Analyst - Technical expertise regarding data models, database design development, data mining and segmentation techniques - Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, Power BI) - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - "
5,Senior Data Analyst,Q-Express Documents Transport - G25,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Q-Express Documents Transport - G25-United Arab Emirates-94962,xpress Documents Transport ,Posted 7 hours ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Data Analysis - Business Analysis - Microsoft Office - SQL - Engineering - Finance - Accounting - Software Development - Computer Engineering - Financial Analysis - System Analysis - Commerce - Microsoft Excel - English - Software - Research - Business ,,not mentioned
6,Financial Data Analyst,Zewail City,"Higher Education, Non-Profit Organizations","Giza, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Zewail-City-Egypt-2881,"6th of October, Giza",Posted 9 days ago,11/8/2023,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Social Insurance , Medical Insurance , Transportation Point Based",Accounting/Finance - Analyst/Research ,Accounting - Analysis - business - Economics - Data - Finance - Financial - Financial Analysis - Reporting - Tableau - Forecasting ,"Assist and prepare a budget based on the performance, estimated revenue, expense reports, and past budget analysis. - Review operating budgets periodically to analyze trends affecting budget needs. - Reviews expenditures of departments to ensure compliance with budget. - Consult with his manager to ensure adjustments are made in accordance with plan changes in order to facilitate both short & long-term planning. - generate statistical data for presentation in miscellaneous budget reports - In-depth understanding of accounting standards and financial accounting statements ","BS degree in Finance, Economics, or a related field - Proficiency with MS Excel skills. - Solid Understanding of business intelligence and data visualization tools (Power BI, Tableau, etc.) - Relevant certification such as FMVA will be preferred. - Proven knowledge of financial forecasting and diagnosis, corporate finance, and information analysis - Outstanding presentation, reporting and communication skills - "
7,Data Analyst Specialist,Almoosa Specialist Hospital,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/Almoosa Specialist Hospital-Saudi Arabia-95450,"Riyadh, Saudi Arabia",Posted 14 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,Administration - IT/Software Development - Analyst/Research ,Microsoft Office - Data Entry - Administration - Data Analysis - Analysis - Computer Science - Information Technology (IT) - Admin - Computer Skills - SQL - Microsoft Excel - English - Research - Customer Service - Typing - Data - Engineering - Data Analyst - Python - Customer Care ,,not mentioned
8,Data Analyst,Confidential Company ,unknown,unknown,unknown,"New Cairo, Cairo",Posted 16 days ago,11/8/2023,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research ,BI - Analysis - Data Analysis ,,
9,Engineering Data Analyst (Digital Twin),KBR Inc.,unknown,"Abu Dhabi, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/KBR Inc.-United Arab Emirates-91377,"Riyadh, Saudi Arabia",Posted 21 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Computer Science - Information Technology (IT) - Data Analysis - Analysis - Engineering - SQL - Microsoft Office - Python - Microsoft Excel - Computer Engineering - Research - Data Analyst - Software Engineering - Data - ETL - Telecommunication - Economics - Software Development - Business Analysis - Computer Skills ,,not mentioned
