,Unnamed: 0,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
0,0.0,Business Data Analyst,Tidal,Computer Software,"Cairo, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/Tidal-Egypt-31908,"Cairo, Egypt",Posted 12 days ago,2023-11-26,More than 3 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Analyst - Business Analysis - Data Analysis - English - Computer Science - Software - Software Development - Information Technology (IT) - business - Research - Engineering - ERP System - HCM - Information Systems - Business Analytics - Business Plans - Team Leadership ,"Determine operational objectives by studying business functions gathering information, evaluating output requirements and formats - Collaborate with software developers and programmers to ensure the effective implementation of system changes and enhancements. - Cerate & map the current process. - Cerate & build up clear project documentation. - Create project plans, tasks, and deliverables for technical teams, developers     - Provides technical writing-up that is needed for project delivery + development and reporting requirements. - Performs related work as assigned. - Analyzing the structure of a business to determine how it operates and determine its objectives - Construct workflow charts and diagrams, studying system capabilities, writing specifications - Improve systems by studying current practices, designing modifications - Recommend controls by identifying problems, writing improved procedures - Maintain user confidence and protect operations by keeping information confidential - Prepare technical reports by collecting, analyzing, and summarizing information and trends - Interpret, evaluate, and interrelate research data and develop integrated business analyses and projections for incorporation into strategic decision-making - Perform daily, weekly, and monthly reviews and analyses of current processes using operational metrics and reports - Conduct software testing and quality assurance to ensure the reliability and performance of applications. - Troubleshoot and resolve software-related issues, working closely with end-users to provide support and guidance. ","Bachelor’s degree in engineering or computer science or relevant. - 3 + years of professional experience. - Preferred to have experience in the software industry - Software  User Experience (UX) and Interaction Design (IX) experience is a must. - Knowledge of other software and tools commonly used in the industry (e.g., ERP systems, data analysis tools). - Proven experience as a Systems Analyst or similar role, with a solid understanding of systems analysis principles and methodologies. - Strong technical knowledge, including programming languages, databases, operating systems, and software development methodologies. - Excellent research and analytic skills - In-depth knowledge of Business & data modeling techniques - Excellent attention to detail - Ability to turn complex concepts into simple language - Excellent verbal and written communication skills - Excellent time management and prioritization skills. - Business Writing and Reporting. - Documentation proficiency in both English and Arabic. - Exceptional analytical and conceptual thinking skills. - The ability to influence stakeholders and work closely with them to determine acceptable solutions. - Advanced technical skills. - Excellent documentation skills. - Fundamental analytical and conceptual thinking skills. - Experience creating detailed reports and giving presentations. - Competency in Microsoft applications including Word, Excel, and Outlook. - A track record of following through on commitments. - Excellent planning, organizational, and time management skills. - Experience leading and developing top-performing teams. - A history of leading and supporting successful projects. - Preferred to have experience in the software industry - "
1,1.0,Data Analyst,Aman,Retail,"Giza, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Aman-Egypt-18390,"6th of October, Giza",Posted 12 days ago,2023-11-26,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Analyst/Research ,Analysis - Analyst - Data - Data Analyst - Data Analysis - Statistics - Python - Tableau - SQL ,"Execute numerical data to help solve problems across various domains and All Aman LOBs - Research and devise innovative statistical models for data analysis - Analyze data for trends and patterns, and interpret data with clear objectives in mind - Identify relevant data sources and sets to mine for client business needs, and collect large structured and unstructured datasets and variables - Devise and utilize algorithms and models to mine big-data stores; perform data and error analysis to improve models; clean and validate data for uniformity and accuracy - Implement analytical models in production by collaborating with software developers and machine-learning engineers - Enable smarter business processes by using analytics for meaningful insights - Collaborate with product design and engineering teams to develop an understanding of needs - Research and devise innovative statistical models for data analysis ","Ownership  - Functional Skills - Ideas presentation and Taking initiative  - Continuous Learning  - Customer Centricity - Proficiency with data mining, mathematics, and statistical analysis - Experience with Excel, PowerPoint, Tableau, SQL, and programming languages (ex: Java/Python, SAS) - 1-2 years of proven experience as a Data Analyst or Data Scientist - Bachelor’s degree in Statistics, Applied Mathematics, or a related discipline - "
2,2.0,Senior Data Analyst,Cilantro,"Food and Beverage Production, Food Services/Restaurants/Catering","Cairo, Egypt • 101-500 employees",https://wuzzuf.net/jobs/careers/Cilantro-Egypt-69955,"Maadi, Cairo",Posted 13 days ago,2023-11-26,4 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - analytical - Computer Science - Data Analysis - Data Analyst - Data - Programming - Python - SQL ,,
3,3.0,Data Analyst,EGEC,Engineering Services,"Giza, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/EGEC-Egypt-19486,"Haram, Giza",Posted 10 hours ago,2023-11-26,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Accounting/Finance - Analyst/Research - Engineering - Other ,analytical - Analysis - Computer Science - Reporting - Data Analysis - Communication skills ,"Use the data management software to collect data for the different projects within the organization. - Provide alert when data is missing. - Perform analysis for the available data to get the key performance indicators. - Based on the analysis, prepare a report on the project status. - Interpret and correlate the different project documents. - Investigate the reasons for non-compliance in the project performance. - Electronic archiving of the resulting reports with the project data. -   ","Support Function Departments. - Bachelor of Commerce  - Experience 2 - 5 years - Computer Skills Basic using for Microsoft office - Languages Excellent English language - Ability to communicate effectively at all levels both verbally and in writing. - Able to plan, organize and priorities workload. - Knowledge of Operations Management Systems. - Sound understanding of business needs and a strong commercial focus. - A flexible, “can do” attitude and approach. - Proven skills in presenting and reporting. - Good knowledge of Microsoft Office; Project Management and Scheduling software. - Strong oral and written communication skills. - Good analytical and problem-solving skills. - Mature interpersonal skills. - "
4,4.0,Data Analyst,MEAHCO - Saudi German Health,Healthcare and Medical Services,"Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/Saudi-German-Group-Egypt-71088,Saudi German Health ,Posted 5 days ago,2023-11-26,2 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research ,Analysis - business ,"Using automated tools to extract data from primary and secondary sources - Removing corrupted data and fixing coding errors and related problems - Performing analysis to assess the quality and meaning of data - Filter Data by reviewing reports and performance indicators to identify and correct code problems - Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets could be helpful for the diagnosis and prediction - Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time. - Analyzing local, national, and global trends that impact both the organization and the industry - Working with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications  - Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends ",
5,5.0,Business Data Analyst,Confidential Company ,unknown,unknown,unknown,"Cairo, Egypt",Posted 13 days ago,2023-11-26,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Analyst/Research ,Analysis - Business Analyst - Information Technology (IT) - Analyst - Business Analysis - Computer Science - Software - analytical - business ,"key interface between the Customer / users  and the technical team as gather information, document processes, and confirm the final documents that need to be implement. - Cerate & mapping current process. - Cerate & build up clear project documentation.  - Provides technical writing-up that needed for project delivery + development and reporting requirements. - Performs related work as assigned.  - Analyzing the structure of a business to determine how it operates and determine its objectives - Identifying any problems with the current business model - Developing comprehensive end-to-end Business scenarios, use cases, and test cases - Communicating with various Stockholders levels. - Enhance reporting outputs and data visualization. - Collaborate with development team members, data teams, and Project Management to develop business and technical requirements. - Create a detailed business analysis, indicate challenges, identify, and validate the key business requirements. - Create and document functional requirements and non-functional requirements. - Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions. - Leading ongoing reviews of business processes and developing optimization strategies. - Staying up-to-date on the latest process and IT advancements to automate and modernize systems. - Conducting meetings and presentations to share ideas and findings. - Performing requirements analysis. - Documenting and communicating the results of your efforts. - Effectively communicating your insights and plans to cross-functional team members and management. - Gathering critical information from meetings with various stakeholders and producing useful reports. - Working closely with clients, technicians, and managerial staff. - Providing leadership, training, coaching, and guidance to junior staff. - Ensuring solutions meet business needs and requirements. - Performing user acceptance testing. - Updating, implementing, and maintaining procedures. - Prioritizing initiatives based on business needs and requirements. - Serving as a liaison between stakeholders and users. - Managing competing resources and priorities. - Monitoring deliverables and ensuring timely completion of projects. ","Bachelor’s degree in engineering or computer science or relevant. - 3 + years of professional experience. - Electronic cash collection experience. - Software  User Experience (UX) and Interaction Design (IX) experience is must. - Excellent research and analytic skills - In-depth knowledge of Business & data modeling techniques - Excellent attention to detail - Ability to turn complex concepts into simple language - Excellent verbal and written communication skills - Excellent time management and prioritization skills. - Business Writing and Reporting. - Documentation proficiency in both English and Arabic. - Exceptional analytical and conceptual thinking skills. - The ability to influence stakeholders and work closely with them to determine acceptable solutions. - Advanced technical skills. - Excellent documentation skills. - Fundamental analytical and conceptual thinking skills. - Experience creating detailed reports and giving presentations. - Competency in Microsoft applications including Word, Excel, and Outlook. - A track record of following through on commitments. - Excellent planning, organizational, and time management skills. - Experience leading and developing top-performing teams. - A history of leading and supporting successful projects. - "
6,6.0,Data Analyst,Care Services EG,Other - Not Classified,Egypt • 11-50 employees,https://wuzzuf.net/jobs/careers/lead-Egypt-93378,"Abbassia, Cairo",Posted 15 days ago,2023-11-26,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research ,Analysis - analytical - BI - Computer Science - SQL - Statistics - Tableau - Data Analysis ,"Design, develop and maintain business intelligence solutions. - Craft and execute queries upon request for data. - Present information through reports and visualization based on requirements gathered from stakeholders. - Interact with the team to gain an understanding of the business environment, technical context, and organizational strategic direction. - Design, build and deploy new, and extend existing dashboards and reports that synthesize distributed data sources. - Ensure data accuracy, performance, usability, and functionality requirements of BI platform. - Manage data through MS Excel, Google sheets, and SQL applications, as required and support other analytics platforms . - Develop and execute database queries and conduct analyses. - Develop and update technical documentation requirements. - Clean, organize, and transform data to make it suitable for analysis. -  Develop and implement data models, algorithms, and statistical techniques to extract insights from complex datasets.  - Identify opportunities for process improvement and data-driven decision-making. ","3-5 years of experience as a Data Analyst - Bachelor's degree in a quantitative field such as mathematics, statistics, computer science, or a related discipline.  - Proficiency in data manipulation and analysis tools such as SQL, Python, R, or similar. - Experience with data visualization tools such as Tableau, Power BI, or similar. - Excellent problem-solving skills and attention to detail.  - Strong written and verbal communication skills. -  Ability to work independently and collaborate effectively in a team environment -    Fluent in English, both writing and speaking is a Must. -   Excellent analytical skills. - "
7,7.0,Data Analyst - United Arab Emirates University,Qureos,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/Qureos-Saudi Arabia-95298,"Dubai, United Arab Emirates",Posted 18 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Analysis - Computer Science - Information Technology (IT) - SQL - Microsoft Office - Microsoft Excel - Data Analyst - Research - Business Analysis - Economics - Engineering - Python - Computer Skills - Data - English - Tableau - Commerce - Finance - Statistics ,,not mentioned
8,8.0,Senior Data Analyst - KBR,Qureos,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/Qureos-Saudi Arabia-95298,"Dubai, United Arab Emirates",Posted 18 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Data Analysis - Business Analysis - Microsoft Office - SQL - Engineering - Finance - Accounting - Software Development - Computer Engineering - Financial Analysis - System Analysis - Commerce - Microsoft Excel - English - Software - Research - Business ," Responsible for the collection and analysis of statistics and information from multiple sources to identify trends in order to gain maximum insight that can give the company a competitive advantage. -  Applies and integrates statistical, mathematical, predictive modeling and business analysis skills to manipulate complex high volume data from a variety of sources. -  Creates new data collection frameworks for structured and unstructured data. -  Determines appropriate methods to creatively explore mine, analyze, and manipulate extremely massive data sets. -  Develops and analyzes modeling and measuring techniques using inquisitive creativity along with mathematics, “machine learning”, and statistical/ engineering methods to discover many possible solutions to a given problem. -  Builds and creates user-friendly reports and presentations for internal and external customers, using various SQL queries, databases and systems and statistical analysis. -  Evaluate business processes, anticipate requirements, uncover areas for improvement, and develop and implement solutions. -  Monitoring deliverables and ensuring timely completion of projects. -  Performs other duties as assigned. -  Undergraduate degree in Engineering, Information Technology, Mathematics or Science discipline. Master’s degree preferred. -  5 years related experience. -  Data Mining -  Statistical and Business Analysis -  Mathematical and Predictive Modeling -  Analytical and conceptual thinking skills. -  Advanced technical skills and excellent documentation skills. -  Proficient in data extraction and analysis, well versed in SQL query creation and review. -  Solid understanding of database relationships. -  Well versed in Microsoft Power BI reporting, Costpoint, Cognos, Maximo, OnBase, Microsoft Office Suite (Word, Power Point, and Excel in particular) -  IFS Cloud and Procurement & Supply Chain Management experience is a plus. -  Must comply with Safety, Health and Environmental plan, policies, and procedures. -  Must comply with the Quality Assurance plan, policies and procedures. -  Must maintain regular and acceptable attendance. -  Responsible for completing all required training. -  Perform other assignments and duties, as required. ",not mentioned
9,9.0,Senior Data Analyst,Q-Express Documents Transport - G25,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Q-Express Documents Transport - G25-United Arab Emirates-94962,xpress Documents Transport ,Posted 19 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Data Analysis - Business Analysis - Microsoft Office - SQL - Engineering - Finance - Accounting - Software Development - Computer Engineering - Financial Analysis - System Analysis - Commerce - Microsoft Excel - English - Software - Research - Business ,,not mentioned
