,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
0,Data Analyst,Confidential Company ,unknown,unknown,unknown,"Heliopolis, Cairo",Posted 4 days ago,2/25/2023,2 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,Business Development - Analyst/Research ,analytical - Analyst - Data - Data Analyst ,"Has an experience in Data Cleansing and Data management project  - Interpret data, analyze results using statistical techniques and provide ongoing reports - Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality - Acquire data from primary or secondary data sources and maintain databases/data systems - Identify, analyze, and interpret trends or patterns in complex data sets - Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems - Work with management to prioritize business and information needs - Locate and define new process improvement opportunities ","Proven working experience as a Data Analyst or Business Data Analyst - Technical expertise regarding data models, database design development, data mining and segmentation techniques - can Work from Office and customer site - Preferable knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) - Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - BS in Mathematics, Economics, Computer Science, Information Management or Statistics - "
1,Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen,Financial Services,"Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Egypt-63503,Al Ahly Tamkeen ,Posted 11 days ago,2/25/2023,1 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - BI - Computer Science - Data - analytical - Information Technology (IT) - Reporting - Python - Statistics - SQL - Economics - Data Analysis ,,
2,Data Analyst,Hands of Hope Physical Therapy & Wellness,Healthcare and Medical Services,"Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/--76168,"Maadi, Cairo",Posted 23 days ago,2/25/2023,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,R&D/Science - IT/Software Development - Analyst/Research ,Analysis - Analyst - Data - Data Analysis - Data Analyst - Information Technology (IT) - Tableau - SPSS - SQL - SAS - Google Analytics - Epidemiology - Epidemiologist - Computer Science - Statistics ,"Track, collect, and interpret data, then analyze results using statistical techniques - Identify, analyze and interpret trends or patterns in complex data set.. - Apply Data Cleaning Techniques for historical data. - Google Analytics and similar platforms knowledge to present actionable insights in a visually appealing format. - Provide ongoing reports, dashboards and insights facilitate making business recommendations based on data analysis. - Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them. - Build company balance scorecard model. - Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions. - Provide quality assurance of imported data. - Processing confidential data and information according to guidelines. - Managing and designing the reporting environment, including data sources, security, and metadata. - Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems. - Generating reports from single or multiple systems. - Troubleshooting the reporting database environment and reports. - Evaluating changes and updates to source production systems. - Training end-users on new reports and dashboards. - Providing technical expertise in data storage structures, data mining, and data cleansing. ","Essential experience in one or more of the data analysis tools (SQL, SPSS, VBA, R, Tableau, SAS, Microsoft Power BI, google data studio,…) - 3+ years in a data analyst role at least. - Expert-level proficiency with Excel and PowerPoint. Experience with Google Analytics, and Data Visualization tools. - Ability to collaborate effectively and work as part of a team - Strong attention to detail. - Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment. - Ability to work with stakeholders to assess potential risks. - Ability to analyze existing tools and databases and provide software solution recommendations. - Ability to translate business requirements into non-technical, lay terms. - High-level experience in methodologies and processes for managing large-scale databases. - Demonstrated experience in handling large data sets and relational databases. - Understanding of addressing and metadata standards. - High-level written and verbal communication skills. - "
3,ERPNext Specialist/Data Analyst,Confidential Company ,unknown,unknown,unknown,"Alexandria, Egypt",Posted 24 days ago,2/25/2023,More than 5 years,Experienced (Non-Manager),Not Specified,15000 to 25000 EGP Per Month,IT/Software Development ,Business Intelligence - BI - Data Analyst - Data Mining - Power BI - Data Analysis - ERPNext - ERP Implementation - Technical Support - Python - JavaScript - SQL ,"Managing ERPNext implementation projects in new/existing companies within our group. - Collecting company needs, analyzing business workflow and implementing findings on ERPNext. - Identifying business problems and designing and testing the possible ERPNext-powered solutions. - Troubleshooting ERPNext-related issues and problems and working on sorting out. - Giving agile training to team members.  - Gathering business requirements and translating them into understandable and clear ones to the developing team. - Following up with the developing team about the pending projects. - Taking responsibility as a system administrator. - Minimizing customization through analytical thinking of the proposed requirement. - Handling users and roles permissions and ensuring information/data security. - Data migration and information retrieving. - Taking the immediate action and thinking out of the box in case of sudden problems which cause business instability. - Working on making all MIS reports to be automatically generated from ERPNext. - Using automated tools to extract data from primary and secondary sources.  - Removing corrupted data and fixing coding errors and related problems. - Developing and maintaining databases, data systems – reorganizing data in a readable format. - Performing analysis to assess quality and meaning of data. - Filtering and cleansing data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems. - Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction. - Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time. - Preparing reports for the management stating trends, patterns, and predictions using relevant data. - Creating insightful dashboards. - Working with the management to prioritize business and information needs. - Ensuring all needed information are accessible by each team member according to the authority matrix and permissions granted to each role. ","5 years or above of experience in data analysis and implementing ERPNext in trading companies - Good knowledge of business processes, accounting, supply chain, etc. - Strong mathematical and logical skills to collect, measure, organize and analyze data. - Good knowledge of of APIs and programing languages (especially languages in which ERPNext is written) like Python, JavaScript, SQL, etc. - Technical proficiency regarding database design development, data models, techniques for data mining, and segmentation. - Proficiency in business intelligence tools (mainly Excel and Power BI) used for data set analyzing. - Familiar with new updates in IT world.  - Good command of MS PowerPoint. - Strong problem-solving and analytical skills - Excellent written and verbal communication skills. - Training skills. - Project management. - Excellent command of English. - Accuracy and attention to detail. - Ability to thrive in a group environment and work well with others - "
4,Data Analyst,Natcom,"Consumer Electronics, Telecommunications","Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Natcom-Egypt-5551,"Cairo, Egypt",Posted 20 days ago,2/25/2023,2 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail ,Sales - Retail - Retail Sales - Retail Business ,"Interpret data, analyze results using statistical techniques and provide ongoing reports - Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality - Acquire data from primary or secondary data sources and maintain databases/data systems - Identify, analyze, and interpret trends or patterns in complex data sets - Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems - Work with management to prioritize business and information needs - Locate and define new process improvement opportunities ","computer skills: They must be proficient with Excel, including use of pivot tables, financial functions, data analysis, auditing and additional functions; advanced formatting and analysis tools. They must also possess a working knowledge of Windows and related software applications, including word processing, graphics, e-mail, fax ability, and database management - Communication skills: They must be able to communicate effectively both orally and in writing - "
5,Data Analyst,Nugttah,Computer Software,"Riyadh, Saudi Arabia • 11-50 employees",https://wuzzuf.net/jobs/careers/--80150,"Cairo, Egypt",Posted 26 days ago,2/25/2023,1 to 4 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development - Engineering - Telecom/Technology ,Computer Science - Information Technology (IT) - Data Analysis - Data visualization - Data ,"Nugttah is a leading customer engagement solution in Saudi Arabia - Conduct data discovery, exploration and insights generation for business, operational and product improvements - Gather requirements & develop reports for business, operational and product team to support their decision making - Improve data quality and resolve data related issues that may occur together with data engineer and other related parties - Regularly review data reports/dashboards and its performance, take action to address the issues, and follow up to ensure problem resolution. ","We need a data analyst who is proactive, advise and suggest to have the app better - Work Remotely. - Bachelor’s degree in System Information, Computer Science, Mathematics, Statistics, or other related fields - Excellent SQL and mongoDb understanding and spreadsheet skill for modeling, forecasting and data visualization - Experience in data visualization tools - Metabase  - A  good communicator - Outstanding analytical, logical skills - "
6,Data Analyst (On-Site),Union Coop,Retail,"Dubai, United Arab Emirates • 11-50 employees",https://wuzzuf.net/jobs/careers/U-Egypt-36354,"Dokki, Giza",Posted 1 month ago,2/25/2023,More than 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Analyst/Research ,Computer Science - Power BI - SSIS - SSRS - SSAS - Data Warehouse - Information Technology (IT) - ETL - SQL - Oracle - Design - Telecom Engineering - Data Analysis ,"The data analyst should have a firm grasp of BI implementation methodologies and will have had in-depth experience with the Microsoft BI Stack (SSIS, SSRS, and SSAS), Power BI, and other Visualization tools like Tableu, Qlik, etc. - Data gathering, research, and analytical abilities so as to develop insightful conclusions and generate solutions to address user needs - Create written communication materials that effectively summarize findings and support recommendations - Direct quality assurance and user acceptance testing by writing test plans and managing the execution of testing (Unit and UAT) - Translate business needs to technical specifications - Design, build and deploy BI solutions (e.g. reporting tools) - Maintain and support data analytics platforms (e.g. MS BI, Tableu, Algonomy) - Create tools to store data (e.g. OLAP cubes) - Conduct unit testing and troubleshooting - Evaluate and improve existing BI systems - Collaborate with teams to integrate systems - Develop and execute database queries and conduct analyses - Create visualizations and reports for requested projects - Develop and update technical documentation ","6+ years of comprehensive report analysis and design experience with demonstrated knowledge of data warehouse/database structures. - 6+ years of recent experience developing reports on SSRS and Power BI. - 6+ years of recent experience writing complex SQL statements. - Demonstrated experience working with business partners, development of functional and technical specifications, and general project management in service of the report development cycle. - Strong communication skills with demonstrated experience managing development cycles and project management. - Relational Database and SQL Language - Extraction, Transformation, and Loading (ETL) (Microsoft SSIS) - Data Warehouse / Solution Design - Dimensional Modeling (Kimball Methodology) - Analytics / OLAP Cube Development (Microsoft SSAS and MDX) - Report Development (Microsoft SSRS, Power BI, Tableu) - "
7,Senior Business Analyst,Guardian towing,"Automotive, Logistics and Supply Chain, Transportation",Egypt • 11-50 employees,https://wuzzuf.net/jobs/careers/guardian towing-Egypt-84971,"Cairo, Egypt",Posted 3 days ago,2/25/2023,More than 3 years,Manager ,Not Specified,40000 to 60000 EGP Per Month,Business Development - Project/Program Management - Analyst/Research ,python - Power BI - Forcasting - Business Development - Financial Data Analysis - Process Improvement - Microsoft Excel - Business Analytics - Agile ,"We are a USA based company that focuses on the TOWING industry. We support service in 7 different cities in the US and we are growing rapidly! Our dispatching team is located in Cairo, Egypt supporting our main office in the US. - We are a rapidly growing company based out of Seattle WA with great potential. - All work is remote. The hours will be according to the Eastern (EST) and Pacific (PST) time zones ","Leverage insights to define, recommend and /or co-create strategic solutions for the business. - Help provide support on growth initiatives operationally across the various departments - Partner with functional leaders to provide reporting and resource planning. - Work with finance, operations, and customer support to evaluate and manage data to understand and quantify best future business decisions. - Contribute to profitable business ideas by proposing, writing, pricing and spotting opportunities - Provide actionable insights and modeling to improve strategy and performance. - Develop dashboards, executive summaries, and weekly/monthly reports to measure against KPIs and market dynamics. - Serve as subject matter expert for improvement, growth and operational strategy issues. - Identify potential business issues and develop contingency plans to effectively mitigate risks. - Develop business specific market, product, and customer knowledge to better serve the needs of senior staff and customers. - Contribute to key accounts by project manage work streams and/or leading delivery teams. - Present findings from analysis to external and internal clients/stakeholders. - Support less experienced consultants through mentoring and project-based development and coaching. - Create pricing models capturing the value proposition that drives clear ROI to customers and businesses. - Cross training and backup for team roles beyond direct daily responsibilities. - Work closely with department teammates to assist in evaluate, implementing and monitoring progress on key development opportunities. - Use a professional presentation style to communicate and creates effective visuals to convey data/info in easily digestible manner with clear takeaways. - Prepare, organize, and display data/results to convey clear business analysis for each department. - Bachelor's or Graduate's Degree in business, business administration, computer science or engineering or equivalent experience. - Proficiency in MS Power BI and Excel - Experience with SQL and Python software and related tools. - Experience with frameworks, statistics, and algorithm design. - Comfortable utilizing business case development and strategic thinking to solve problems. - Sound decision making and problem solving skills. - An advocate dedicated to continuous improvement. - Comfortable negotiating and collaborating with others. - Prior experience as a Business Strategy Analyst. - Understanding of Agile methodologies / Scrum - Project management is a strong plus - "
8,Software Business Analyst,WSC,Computer Software,"Giza, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/WSC-Egypt-87343,"Dokki, Giza",Posted 3 days ago,2/25/2023,3 to 6 years,Experienced (Non-Manager),Not Specified,18000 to 40000 EGP Per Month,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Data - Software - Communication skills - IT ,"Gathering, validating and documenting business requirements​. - Modelling business processes and identifying opportunities for process improvements​. - Identifying issues, risks and benefits of existing and proposed solutions and outlining business impacts. - Creating functional specifications for solutions​. - Simplifying information and deciphering technical jargon so it is easily understood by the whole team​. - Implementing and testing of solutions​. - Supporting business transition and helping to establish change. - Deploy, maintain, and troubleshoot core business applications, including application servers, associated hardware, endpoints, and databases - Meet and coordinate with internal and external stakeholders to establish project scope, system goals, and requirements - Develop, analyze, prioritize, and organize requirement specifications, data mapping, diagrams, and flowcharts for developers and testers to follow - Translate highly technical specifications into clear non-technical requirements - Manage the set-up and configuration of systems - Define and coordinate the execution of testing procedures, and develop test cases to serve the overall quality assurance process - Provide documentation of all processes and training as needed - Develop and implement maintenance procedures, monitor systems health, gather system statistics, and troubleshoot reported errors and alarms - Perform design, implementation, and upgrades of information systems to meet the business and user needs - Implement best practices for scalability, supportability, ease of maintenance, and system performance ",Previous experience in Business / Systems Analysis or Quality Assurance - A degree in IT / Computer Science - Proven experience in eliciting requirements and testing - Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools - Basic knowledge in generating process documentation - Strong written and verbal communication skills including technical writing skills - 
9,Market Research Analyst,Gap Polymers ,"Plastics, Wholesale Trade","Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/gap-polymers-Egypt-38567,"Maadi, Cairo",Posted 4 days ago,2/25/2023,1 to 3 years,Experienced (Non-Manager),Not Specified,"Confidential, Social & Medical Insurance",Marketing/PR/Advertising - Analyst/Research ,E-Marketing - Data Collection - Market Research - Marketing - Research - Statistics - Economics - online survey ,"Conduct primary and secondary market research. - Analyze external and internal customer databases, product lines, and projects. - Convert data and findings into understandable tables, graphs, and written reports. - Monitor competitor activities and report on their strengths and weaknesses in the market. - Possess adequate knowledge of data collection and analysis methods (questionnaires, opinion polls, focus groups, online and field surveys). - Identify and offer insights about product potentials, new customers, and export markets. - Present periodical reports on market insights and consumer behavior ","Bachelor’s degree in business, Statistics, Economics, or another relevant field - 1-2 years of experience in the market research -  Data collection or database experience. - Research and organizational skills. - Strong communication abilities. - "
